Post_ID,Topic,Date,Likes,Comments,Shared
288785,Gaming,2022-03-08,6480,14,35
291106,Food,2021-03-15,129310,335,559
291179,Travel,2021-01-01,14800,363,149
291304,Travel,2022-03-20,12060,241,64
292663,Food,2022-07-17,15780,35,55
293076,Food,2021-02-06,27430,204,96
293184,Food,2022-04-14,17600,115,60
293713,Fashion,2022-03-14,21590,25,40
294396,Gaming,2022-01-12,71270,411,154
296784,Food,2021-12-07,12870,152,69
296914,Travel,2022-07-14,29850,342,113
298791,Food,2021-07-11,78350,112,210
300925,Food,2021-11-08,20300,139,36
300983,Fashion,2022-08-01,32880,57,52
301225,Gaming,2022-03-07,13720,33,14
304241,Food,2022-05-20,14270,109,67
304398,Fashion,2021-04-19,42100,263,145
304537,Food,2022-04-10,6440,54,12
305316,Fashion,2021-11-11,39430,150,130
305682,Gaming,2022-08-08,25760,621,156
306056,Gaming,2021-02-07,11090,161,210
306345,Food,2022-02-11,26080,156,81
306368,Travel,2022-03-20,118680,362,461
307376,Gaming,2022-01-15,6510,290,134
308126,Food,2022-01-07,33730,107,34
309122,Gaming,2021-02-06,68070,179,145
309506,Fashion,2022-11-18,31440,38,65
310771,Food,2022-08-14,15230,115,44
311453,Fashion,2022-03-13,18040,82,75
312595,Travel,2022-03-15,50690,642,293
313397,Travel,2022-04-07,8010,153,135
314224,Gaming,2021-10-06,27430,94,55
314638,Gaming,2022-08-12,4310,49,19
314707,Food,2021-08-08,79230,324,88
315161,Travel,2021-12-05,20930,261,179
316933,Food,2021-02-13,31030,138,65
317096,Travel,2021-09-05,92090,383,141
317605,Food,2021-02-10,11730,37,53
317852,Food,2021-08-15,25600,129,85
318190,Travel,2021-06-16,19520,345,155
319374,Gaming,2022-10-20,65600,242,185
319459,Travel,2022-08-09,79970,463,338
320116,Gaming,2021-07-11,20510,88,56
320477,Gaming,2021-11-03,2360,89,60
321384,Fashion,2022-05-18,18800,53,25
321415,Food,2021-11-01,46010,473,352
322759,Fashion,2022-05-20,17170,68,35
323245,Food,2021-03-20,109050,502,211
324422,Food,2021-06-06,20750,57,47
325763,Food,2021-03-01,34880,155,80
325934,Gaming,2022-08-06,10160,37,14
326010,Fashion,2021-11-13,41810,218,97
327057,Fashion,2021-11-12,30290,93,67
329008,Food,2021-07-06,38320,255,73
329242,Food,2021-07-16,76000,405,198
329958,Fashion,2022-01-03,16050,53,54
329985,Food,2021-02-17,44650,589,108
330114,Fashion,2022-02-11,75220,439,57
330452,Fashion,2022-08-11,11740,112,13
330775,Travel,2022-08-17,24190,180,193
331818,Food,2021-03-04,60290,324,386
332013,Gaming,2021-04-12,31940,109,78
333160,Gaming,2021-12-15,27220,117,32
333633,Gaming,2022-11-04,18330,143,42
335960,Gaming,2022-10-11,2950,31,10
336215,Travel,2022-04-13,16930,337,24
336331,Fashion,2022-01-12,17190,56,51
336635,Travel,2021-01-16,89740,699,63
338067,Food,2022-03-11,83790,307,54
341680,Food,2022-12-02,17240,44,31
342244,Fashion,2022-06-06,23610,176,60
343092,Gaming,2021-01-18,21400,134,71
347266,Fashion,2022-03-18,12940,96,108
348480,Fashion,2021-03-05,28740,36,30
350380,Gaming,2021-01-02,20110,113,55
353678,Travel,2022-06-06,15220,384,179
354169,Food,2022-04-19,48140,191,196
354687,Gaming,2022-07-12,12170,67,12
355086,Travel,2021-12-11,24160,350,121
355732,Food,2022-09-08,28930,68,26
355750,Food,2021-06-15,7390,151,65
355855,Gaming,2021-03-03,29460,469,134
356327,Gaming,2022-03-01,54580,30,186
358392,Food,2022-08-14,109500,196,353
359684,Travel,2021-08-01,25330,273,139
360733,Food,2021-07-19,41520,204,57
361743,Gaming,2021-06-01,30680,170,61
362544,Food,2022-03-12,88370,187,329
363091,Gaming,2022-03-19,8600,51,21
364165,Travel,2021-03-05,24030,237,69
365045,Gaming,2022-03-17,7090,44,24
365362,Fashion,2022-07-07,38840,132,97
365826,Travel,2022-11-10,8470,204,98
366276,Gaming,2022-07-06,7430,66,23
368332,Food,2021-09-06,101810,550,227
368723,Food,2022-11-18,7310,37,20
369045,Fashion,2022-05-15,38570,111,48
369402,Food,2022-05-17,22780,114,31
369599,Gaming,2021-03-08,45120,244,34
372432,Travel,2021-03-20,125730,938,374
374188,Food,2022-05-01,8740,41,34
376132,Travel,2022-08-10,26680,117,97
376633,Fashion,2022-05-20,18320,173,56
377128,Travel,2021-03-18,21410,306,79
377178,Gaming,2022-10-19,40970,204,110
378539,Food,2022-05-04,18040,22,58
378697,Gaming,2022-12-14,47780,352,39
378801,Travel,2021-04-17,48630,261,181
381505,Food,2022-01-13,10700,45,25
381601,Fashion,2022-04-15,29620,89,28
381687,Gaming,2021-02-05,19120,138,40
381700,Food,2021-11-04,43180,221,29
381772,Fashion,2021-04-02,25800,54,40
381885,Travel,2022-09-18,108440,280,127
382053,Gaming,2022-05-15,8180,22,5
383082,Food,2021-06-16,50650,177,90
383645,Fashion,2021-08-07,11160,103,35
384581,Food,2022-01-12,21560,10,40
384605,Gaming,2021-05-14,18480,52,33
385159,Food,2021-11-15,19440,192,43
386391,Food,2021-05-19,16600,53,53
386756,Fashion,2021-10-13,106560,424,188
386854,Gaming,2022-07-19,58780,363,197
386866,Travel,2021-04-01,29350,261,133
387028,Food,2022-05-10,114310,225,219
387930,Gaming,2022-10-07,2800,13,11
388910,Fashion,2021-03-14,41820,259,251
388930,Gaming,2022-08-13,8430,35,18
389378,Fashion,2021-03-03,18920,132,117
390884,Food,2022-03-20,92100,117,262
391408,Food,2022-08-04,23990,148,46
391744,Travel,2021-12-06,16980,163,102
392084,Travel,2021-02-09,50360,591,220
393746,Gaming,2021-10-14,18820,44,45
394652,Fashion,2022-04-15,13740,39,26
395043,Food,2022-09-16,100420,679,511
395904,Food,2022-06-18,41850,67,565
400879,Food,2022-04-06,31930,124,23
400991,Fashion,2022-05-05,14710,83,57
401344,Gaming,2021-12-17,14530,121,18
402509,Food,2021-09-07,37270,574,387
402681,Food,2022-07-04,25830,111,71
403213,Gaming,2022-07-10,10850,74,104
404233,Gaming,2022-11-13,10410,40,17
405818,Food,2021-04-12,43750,74,62
409057,Gaming,2022-11-08,4510,22,6
409201,Gaming,2021-09-06,8930,83,42
409264,Travel,2022-09-05,6720,100,157
411026,Travel,2022-09-14,8950,135,54
411268,Travel,2021-08-05,33700,197,151
411365,Fashion,2021-12-07,12380,137,79
411770,Food,2021-06-15,30170,120,66
412086,Travel,2022-09-02,43130,365,324
413210,Food,2022-09-16,30510,104,27
413500,Gaming,2021-06-06,14230,114,58
413635,Food,2021-10-19,46130,73,115
414747,Food,2021-01-04,5380,108,65
415056,Food,2022-09-06,59150,337,492
415806,Food,2022-08-18,12220,32,32
419072,Gaming,2021-07-01,41310,67,89
420904,Food,2022-02-02,29520,156,78
421014,Gaming,2021-10-02,20080,67,62
422202,Food,2022-04-09,47670,305,319
422738,Food,2022-03-01,13930,29,25
423284,Travel,2022-06-06,44590,572,306
423403,Travel,2021-05-05,37460,405,147
423995,Food,2021-12-20,29040,151,20
424259,Food,2021-12-18,31170,56,69
424750,Travel,2021-07-10,15350,196,93
424851,Fashion,2021-12-20,102340,660,118
425376,Fashion,2021-11-09,29950,132,112
425891,Food,2022-02-08,10810,64,32
425988,Fashion,2022-03-06,14180,95,56
426099,Food,2021-12-08,50170,308,382
426227,Food,2022-03-12,25000,60,50
428507,Food,2022-05-16,23290,158,73
429966,Travel,2022-07-15,11580,69,102
430293,Travel,2022-09-17,20680,209,120
430559,Food,2021-06-01,28640,145,40
431491,Travel,2021-10-17,48760,340,105
435350,Gaming,2022-05-06,19830,336,42
435993,Food,2021-11-09,77840,207,87
436172,Travel,2022-12-07,11850,132,181
436673,Food,2021-05-16,73120,186,213
436850,Gaming,2021-04-05,21720,40,39
437426,Gaming,2022-01-18,70110,391,31
438068,Food,2022-08-20,70000,130,403
439185,Gaming,2021-04-05,25100,125,32
440455,Travel,2021-02-19,29830,274,167
440943,Travel,2022-01-19,22240,374,93
441076,Gaming,2022-04-17,41540,357,93
442975,Food,2022-07-01,15580,129,57
443138,Travel,2021-11-16,52530,480,214
443606,Gaming,2022-04-05,47050,324,194
444153,Food,2021-10-04,114540,178,337
444319,Travel,2022-02-07,22930,111,126
445034,Travel,2022-06-14,21580,374,156
445797,Food,2022-10-08,9300,37,16
446254,Travel,2021-11-13,13510,293,85
447305,Food,2022-07-04,12730,174,18
448955,Food,2022-04-17,82090,245,153
451805,Fashion,2022-12-09,110300,143,128
451839,Food,2022-04-17,17010,122,239
452329,Gaming,2022-07-05,7890,36,13
453186,Travel,2022-12-05,35710,421,338
454573,Fashion,2022-09-06,22570,66,48
455002,Travel,2022-01-17,31300,215,181
456371,Gaming,2021-02-11,40340,373,108
456861,Gaming,2021-01-10,17150,54,40
457355,Gaming,2021-04-20,15630,219,35
457568,Gaming,2022-10-16,28780,109,29
457943,Travel,2022-06-09,19420,114,158
458522,Travel,2022-06-20,22530,314,54
459508,Food,2022-09-04,18420,195,252
460845,Gaming,2022-04-01,33940,292,117
461613,Travel,2022-09-04,4310,126,47
461730,Gaming,2021-10-18,10700,92,44
463232,Food,2022-02-12,17940,45,11
463628,Gaming,2022-10-07,16720,85,52
463784,Food,2022-04-12,23600,75,69
465325,Food,2022-10-04,7270,68,27
465685,Gaming,2021-03-01,13370,147,59
466064,Food,2022-07-12,25700,35,28
467132,Travel,2022-03-16,29260,161,94
468217,Gaming,2022-01-02,63090,609,92
468406,Travel,2021-10-20,36410,190,171
468589,Fashion,2022-04-19,50700,463,101
469244,Food,2022-01-05,36280,111,81
470136,Gaming,2022-04-03,32160,70,35
470669,Food,2022-06-18,22720,167,28
470952,Gaming,2021-10-20,18340,94,98
472390,Food,2022-12-11,37330,337,217
472400,Food,2022-03-20,5680,45,11
472649,Fashion,2022-10-18,65990,283,268
473844,Food,2022-10-20,14940,55,54
474316,Food,2021-02-02,6000,119,59
474649,Fashion,2022-01-05,25660,104,38
475424,Travel,2022-01-07,22520,266,37
475795,Gaming,2022-09-12,3800,27,17
476425,Fashion,2021-07-20,43270,199,100
477768,Travel,2022-04-05,94460,569,173
478088,Gaming,2022-05-06,9730,72,23
479212,Fashion,2021-02-07,57930,183,8
479467,Travel,2022-10-05,23600,821,333
480246,Travel,2022-05-07,16430,76,146
480360,Gaming,2021-12-03,45260,248,71
480752,Food,2022-12-14,110600,196,535
482150,Travel,2022-06-17,8490,533,344
482864,Gaming,2021-12-07,61760,302,86
484454,Travel,2021-07-05,35680,221,83
484518,Food,2022-04-19,4510,63,60
484991,Food,2021-10-20,44720,109,88
485312,Food,2021-11-05,40890,114,505
485699,Gaming,2022-06-01,4490,56,14
486259,Food,2022-01-15,4090,148,51
486440,Food,2022-09-02,4390,108,81
487543,Food,2022-01-12,29570,155,452
487872,Food,2022-02-09,29100,76,56
490125,Gaming,2022-05-19,9890,20,12
490405,Food,2021-12-06,33210,177,101
490601,Gaming,2021-07-06,36630,379,98
490702,Food,2022-10-14,13050,58,26
491383,Gaming,2021-03-17,11140,39,36
496028,Food,2022-12-17,116840,518,430
497060,Gaming,2021-01-02,17610,27,58
497181,Food,2022-10-03,11810,154,516
499921,Gaming,2021-12-17,8770,31,56
